 time,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
0.375,3865.640931,4296.922972,4591.281939,4171.281949,3750.769139,4293.846049,4021.538363,4198.461436,4326.666561,4019.487081,4291.794767,4287.179382,4392.820405,4264.61528
0.3828125,3870.256316,4298.974254,4593.846042,4173.846052,3753.846062,4292.307587,4020.512722,4198.974256,4325.128099,4019.487081,4291.281946,4285.1281,4394.358867,4270.769126
0.390625,3870.256316,4302.051177,4597.435785,4168.205026,3754.871703,4288.205023,4012.307594,4193.846051,4325.64092,4020.512722,4290.769126,4284.61528,4392.307585,4274.35887
0.3984375,3871.281957,4307.179382,4603.076811,4167.179385,3744.615293,4289.230664,4015.384517,4191.794769,4327.179381,4024.615286,4296.410151,4291.281946,4392.307585,4279.487075
0.40625,3872.820418,4309.230664,4607.692195,4176.410154,3738.974268,4290.256305,4025.640927,4201.025538,4328.205022,4026.153748,4297.948613,4292.307587,4393.333226,4281.025536
0.4140625,3866.153752,4307.692202,4595.897324,4178.974257,3748.717857,4287.692203,4029.743491,4217.948615,4331.281945,4024.102466,4290.256305,4281.538357,4385.640918,4274.35887
0.421875,3856.410162,4300.512715,4576.410145,4168.717847,3749.230678,4289.230664,4027.179389,4220.512717,4331.794766,4016.410158,4276.922972,4271.281947,4373.333226,4262.051178
0.4296875,3854.871701,4297.435792,4569.743478,4168.717847,3740.512729,4295.38451,4024.615286,4211.281948,4329.743484,4013.846056,4270.256306,4266.153742,4374.871688,4254.871691
0.4375,3862.051188,4304.615279,4579.999888,4176.410154,3739.999909,4294.87169,4029.230671,4215.897333,4327.179381,4017.435799,4273.333229,4271.794767,4379.487072,4256.410152
0.4453125,3868.205034,4314.871689,4586.153734,4175.384513,3743.076832,4290.256305,4037.435799,4225.128102,4328.205022,4022.564004,4279.999895,4282.563998,4378.461431,4261.025537
0.453125,3873.333239,4315.89733,4589.743478,4173.333231,3747.179396,4287.692203,4035.384517,4217.435794,4327.692202,4021.025543,4284.61528,4288.205023,4381.538354,4264.61528
0.4609375,3876.922982,4307.179382,4593.333221,4177.948616,3752.307601,4286.153741,4029.743491,4210.769128,4324.615279,4015.384517,4284.102459,4286.153741,4386.666559,4265.128101
0.46875,3884.102469,4300.512715,4597.948606,4185.640923,3751.28196,4281.538357,4029.230671,4215.384512,4324.102458,4018.46144,4288.717844,4289.743485,4388.717841,4273.333229
0.4765625,3889.743495,4302.051177,4604.102452,4192.30759,3752.307601,4274.35887,4018.974261,4204.102461,4325.64092,4025.640927,4291.281946,4295.897331,4391.281944,4280.512716
0.484375,3888.205033,4295.897331,4601.025529,4192.82041,3762.05119,4267.179383,4002.564005,4180.512718,4323.076817,4018.974261,4287.179382,4293.846049,4387.17938,4275.897331
0.4921875,3885.12811,4284.61528,4594.871683,4188.717846,3768.717857,4258.461434,4000.512723,4175.384513,4320.512715,4011.281953,4285.1281,4295.38451,4379.487072,4271.794767
0.5,3886.153751,4278.974254,4594.871683,4190.256308,3771.281959,4255.384511,4008.717851,4186.153744,4322.051176,4018.974261,4289.743485,4304.102459,4380.512713,4271.281947
0.5078125,3884.61529,4276.410152,4597.948606,4189.230667,3778.461446,4260.512716,4012.820415,4192.82041,4324.615279,4022.051184,4292.307587,4310.769125,4379.999893,4266.666562
0.515625,3880.512726,4277.435793,4589.230657,4182.564,3788.717856,4265.640921,4021.025543,4197.435795,4327.692202,4017.435799,4286.153741,4308.205023,4373.846047,4262.051178
0.5234375,3878.974264,4283.589639,4578.974247,4176.410154,3788.717856,4265.640921,4026.666568,4201.538359,4327.692202,4016.922979,4278.461434,4299.999895,4371.794765,4259.999896
0.53125,3877.948623,4286.153741,4574.358863,4166.153744,3788.205036,4269.743485,4023.589645,4207.179384,4327.692202,4016.922979,4277.435793,4289.743485,4373.846047,4255.384511
0.5390625,3877.435803,4284.102459,4574.358863,4156.410155,3794.871702,4276.922972,4018.974261,4209.743487,4330.256304,4016.922979,4275.384511,4287.179382,4372.307585,4252.307588
0.546875,3884.102469,4292.307587,4579.999888,4161.025539,3797.948625,4283.076818,4027.179389,4211.281948,4331.794766,4018.974261,4274.35887,4291.794767,4374.358867,4259.999896
0.5546875,3894.358879,4305.64092,4591.281939,4172.820411,3792.82042,4286.153741,4042.564004,4216.922974,4330.769125,4017.94862,4280.512716,4297.435792,4379.487072,4270.769126
0.5625,3896.410161,4310.256305,4596.922965,4177.435795,3799.999907,4284.102459,4043.076824,4224.102461,4330.256304,4016.922979,4286.153741,4301.025536,4381.538354,4279.999895
0.5703125,3895.897341,4311.794766,4599.487067,4178.461436,3813.33324,4274.35887,4027.692209,4219.487076,4328.717843,4018.974261,4283.589639,4304.615279,4380.512713,4281.538357
0.578125,3896.922982,4313.333228,4598.974247,4182.564,3812.82042,4262.051178,4014.358876,4199.487077,4325.128099,4018.46144,4284.61528,4305.1281,4381.538354,4280.512716
0.5859375,3901.025546,4314.358869,4601.025529,4190.769128,3813.846061,4258.461434,4013.333235,4189.230667,4324.615279,4018.46144,4292.307587,4308.205023,4384.102457,4285.1281
0.59375,3906.666571,4316.410151,4609.230657,4199.487077,3824.615291,4262.051178,4019.487081,4195.384513,4328.205022,4025.128107,4300.512715,4312.307587,4387.17938,4284.102459
0.6015625,3908.717853,4315.38451,4614.871682,4203.07682,3827.692214,4263.589639,4021.025543,4198.461436,4328.205022,4031.281953,4301.538356,4312.820407,4389.230662,4278.461434
0.609375,3904.615289,4308.717843,4613.333221,4197.435795,3827.179394,4261.025537,4015.384517,4193.333231,4325.64092,4027.692209,4295.897331,4310.256305,4385.128098,4275.384511
0.6171875,3905.64093,4303.076818,4610.256298,4191.281949,3834.358881,4265.128101,4017.435799,4192.82041,4325.64092,4022.051184,4295.897331,4306.153741,4382.051175,4269.743485
0.625,3910.769135,4302.051177,4606.666554,4192.30759,3838.461445,4272.820408,4027.179389,4198.461436,4328.205022,4021.025543,4295.897331,4301.538356,4379.487072,4256.922973
0.6328125,3907.179392,4298.974254,4594.358862,4191.281949,3845.640932,4277.435793,4028.20503,4202.564,4330.769125,4020.512722,4286.666562,4297.435792,4373.846047,4244.10246
0.640625,3896.922982,4296.410151,4583.076811,4176.410154,3856.922983,4278.461434,4026.153748,4202.051179,4332.820407,4016.922979,4278.974254,4301.538356,4367.17938,4235.384512
0.6484375,3893.333238,4299.999895,4575.897324,4163.076821,3854.871701,4278.461434,4032.307594,4202.051179,4330.769125,4010.256312,4273.846049,4304.615279,4362.563996,4228.717845
0.65625,3898.974264,4306.666561,4574.871683,4161.53836,3844.615291,4279.487075,4036.410158,4203.07682,4323.589638,4001.025543,4265.640921,4306.153741,4357.948611,4227.692204
0.6640625,3906.153751,4321.025535,4579.487068,4162.564001,3849.230675,4284.61528,4039.487081,4203.07682,4322.051176,3999.999902,4264.61528,4309.230664,4356.41015,4230.256307
0.671875,3914.358879,4341.025535,4592.820401,4168.205026,3858.461444,4287.692203,4040.512722,4203.07682,4329.230663,4008.717851,4273.333229,4314.871689,4359.999893,4239.487076
0.6796875,3926.666571,4357.948611,4605.128093,4177.435795,3856.922983,4285.640921,4038.97426,4208.717846,4332.820407,4016.922979,4282.563998,4317.435792,4366.66656,4253.333229
0.6875,3936.922981,4369.230662,4608.717836,4178.974257,3858.461444,4277.948613,4035.897337,4209.230666,4329.230663,4019.999902,4287.179382,4316.410151,4371.281944,4257.948614
0.6953125,3940.512724,4376.92297,4611.794759,4181.538359,3875.384521,4266.666562,4033.846055,4204.102461,4327.179381,4025.640927,4292.307587,4317.948612,4374.358867,4264.10246
0.703125,3948.205032,4378.461431,4627.179374,4189.743487,3889.230674,4258.974255,4025.640927,4202.564,4326.666561,4034.358876,4303.589638,4326.666561,4381.025534,4279.999895
0.7109375,3954.871698,4374.358867,4638.461425,4191.281949,3887.179392,4255.384511,4012.820415,4197.948615,4323.076817,4037.435799,4314.871689,4327.179381,4387.17938,4289.743485
0.71875,3953.846057,4375.384508,4634.871682,4187.179385,3885.12811,4245.128101,4002.051184,4186.153744,4319.999894,4031.281953,4313.333228,4314.358869,4384.102457,4281.538357
0.7265625,3948.717852,4376.410149,4626.666554,4187.179385,3886.153751,4231.794768,3993.846056,4180.512718,4322.051176,4025.128107,4303.589638,4315.38451,4377.948611,4269.230665
0.734375,3948.717852,4378.461431,4622.051169,4189.743487,3885.12811,4234.871691,3996.410159,4186.666564,4325.64092,4027.179389,4304.615279,4318.461433,4378.461431,4265.128101
0.7421875,3946.66657,4386.153739,4621.025528,4187.692205,3889.743495,4249.743486,4006.153748,4197.435795,4330.256304,4033.333235,4309.743484,4349.230663,4382.051175,4263.076819
0.75,3944.102468,4390.256303,4619.487067,4183.589641,3895.897341,4260.512716,4013.333235,4207.692205,4336.41015,4041.538363,4309.230664,4561.53835,4381.025534,4264.61528
0.7578125,3942.051186,4388.205021,4614.358862,4177.948616,3893.333238,4264.61528,4021.538363,4215.897333,4337.435791,4042.564004,4307.179382,4959.999879,4376.92297,4267.692203
0.765625,3941.538365,4388.717841,4606.153734,4171.281949,3900.512725,4271.281947,4032.307594,4217.948615,4332.307586,4034.871696,4307.179382,5282.563973,4373.333226,4268.205024
0.7734375,3939.999904,4390.769123,4600.512708,4166.666565,3916.410161,4277.948613,4035.384517,4213.846051,4330.769125,4026.666568,4306.666561,5427.179354,4366.153739,4269.743485
0.78125,3933.846058,4395.384508,4594.358862,4164.615283,3921.538366,4280.512716,4039.487081,4215.897333,4333.846048,4026.153748,4307.692202,5524.61525,4361.538355,4276.410152
0.7890625,3930.256314,4403.589636,4595.384503,4162.564001,3918.974263,4278.974254,4044.102465,4214.358871,4330.256304,4025.640927,4312.307587,5617.43576,4363.589637,4285.640921
0.796875,3938.461442,4420.512712,4603.589631,4166.666565,3925.64093,4277.435793,4037.435799,4206.666564,4326.666561,4026.153748,4321.025535,5666.153708,4369.743483,4293.846049
0.8046875,3951.794775,4439.999891,4610.256298,4175.384513,3932.820417,4272.820408,4022.051184,4198.461436,4330.256304,4027.692209,4327.692202,5688.71781,4372.820406,4299.999895
0.8125,3954.871698,4450.256301,4607.179375,4175.384513,3930.769135,4265.128101,4013.846056,4192.82041,4330.256304,4026.153748,4325.128099,5698.97422,4369.230662,4295.897331
0.8203125,3949.743493,4452.820404,4603.589631,4171.79477,3929.230673,4257.948614,4013.846056,4189.230667,4327.179381,4024.615286,4321.025535,5694.871656,4364.615278,4285.1281
0.828125,3948.717852,4463.076814,4604.102452,4178.461436,3932.820417,4256.922973,4013.846056,4189.230667,4329.743484,4029.230671,4322.563997,5681.538323,4365.640919,4278.461434
0.8359375,3953.846057,4478.461429,4607.179375,4185.128103,3931.794776,4259.487075,4009.230671,4193.333231,4334.358868,4034.358876,4326.15374,5657.435759,4368.205021,4273.846049
0.84375,3954.358878,4490.769121,4605.128093,4187.692205,3934.358878,4260.512716,4007.179389,4196.922974,4334.871689,4035.897337,4326.15374,5620.512683,4366.153739,4263.589639
0.8515625,3950.256314,4502.563992,4599.487067,4188.205026,3941.025545,4256.922973,4010.769133,4199.999897,4333.846048,4033.846055,4319.487074,5573.846018,4366.66656,4251.794768
0.859375,3947.692211,4511.281941,4594.871683,4183.076821,3934.871699,4253.333229,4017.94862,4202.051179,4331.794766,4025.640927,4308.717843,5513.333199,4365.128098,4243.076819
0.8671875,3948.717852,4515.897325,4593.846042,4185.128103,3928.717853,4253.84605,4027.179389,4207.179384,4331.794766,4016.922979,4301.538356,5448.204995,4358.974252,4236.922973
0.875,3945.128109,4518.461428,4592.820401,4191.794769,3934.871699,4253.333229,4024.615286,4208.717846,4331.794766,4014.871697,4294.358869,5382.563971,4353.333227,4228.717845
0.8828125,3941.025545,4524.615274,4588.717837,4189.230667,3932.307596,4254.35887,4024.102466,4207.692205,4330.769125,4015.897338,4287.179382,5312.307562,4352.307586,4227.179384
0.890625,3944.102468,4539.999889,4592.820401,4186.666564,3924.102468,4258.461434,4037.435799,4207.179384,4331.794766,4017.435799,4290.769126,5244.102436,4355.384509,4238.974255
0.8984375,3948.205032,4554.358863,4599.487067,4189.230667,3933.846058,4252.307588,4039.487081,4204.615282,4331.281945,4018.974261,4295.897331,5176.41013,4360.512714,4252.307588
0.90625,3948.205032,4557.435786,4599.487067,4184.102462,3941.538365,4234.871691,4023.076825,4194.871692,4324.615279,4016.922979,4290.256305,5108.717824,4361.538355,4254.35887
0.9140625,3952.820416,4561.53835,4601.025529,4184.615282,3942.564006,4233.33323,4018.46144,4189.230667,4325.64092,4022.564004,4292.307587,5044.615261,4364.615278,4255.384511
0.921875,3962.051185,4569.743478,4613.333221,4196.410154,3949.230673,4249.230665,4027.179389,4196.410154,4334.871689,4036.410158,4302.563997,4990.769109,4370.256303,4262.051178
0.9296875,3958.461442,4564.102452,4613.333221,4195.384513,3953.846057,4252.820409,4026.666568,4205.640923,4337.948612,4038.97426,4299.487074,4932.307572,4367.17938,4259.999896
0.9375,3953.846057,4554.358863,4607.692195,4188.205026,3946.66657,4249.743486,4024.615286,4209.230666,4335.384509,4031.794773,4295.897331,4883.076804,4363.076816,4256.410152
0.9453125,3963.589647,4560.512709,4612.8204,4197.948615,3945.128109,4267.692203,4034.358876,4216.410153,4339.487073,4036.410158,4305.64092,4851.794753,4371.794765,4269.230665
0.953125,3968.205031,4561.025529,4614.871682,4202.564,3950.256314,4281.538357,4033.333235,4219.999897,4341.025535,4040.512722,4303.589638,4818.974241,4373.333226,4275.384511
0.9609375,3953.333237,4543.076812,4598.974247,4191.794769,3950.256314,4267.692203,4022.051184,4212.82041,4334.871689,4026.666568,4285.640921,4777.948601,4361.025534,4262.563998
0.96875,3942.051186,4534.358863,4585.128093,4185.640923,3943.076827,4257.435793,4027.179389,4213.33323,4328.717843,4011.281953,4272.820408,4749.230653,4349.230663,4255.384511
0.9765625,3945.640929,4544.102453,4587.179375,4187.692205,3936.922981,4264.10246,4041.538363,4223.58964,4328.205022,4007.179389,4271.281947,4736.922961,4347.179381,4262.563998
0.984375,3952.307596,4549.743478,4593.333221,4190.256308,3932.820417,4263.076819,4039.999901,4223.58964,4331.281945,4010.256312,4274.87169,4732.820397,4351.794765,4266.666562
0.9921875,3952.820416,4549.743478,4595.384503,4191.281949,3924.102468,4253.84605,4033.846055,4211.794769,4328.717843,4010.256312,4277.435793,4729.230654,4355.897329,4267.692203
1,3954.358878,4556.922965,4597.948606,4192.30759,3925.128109,4255.384511,4035.897337,4204.615282,4324.102458,4007.69221,4280.512716,4730.769115,4356.92297,4275.897331
1.0078125,3964.615288,4567.179375,4608.205016,4199.487077,3933.333237,4264.61528,4039.999901,4208.205025,4329.230663,4016.410158,4291.281946,4744.615269,4365.128098,4290.769126
1.015625,3972.307595,4567.692196,4615.384503,4209.230666,3932.307596,4271.794767,4045.640927,4211.794769,4334.358868,4030.256312,4301.538356,4753.846038,4376.92297,4300.512715
1.0234375,3964.102467,4558.974247,4609.230657,4203.589641,3927.692212,4266.666562,4037.948619,4199.487077,4327.692202,4028.20503,4296.410151,4750.769115,4373.333226,4296.410151
1.03125,3956.92298,4550.769119,4597.435785,4191.794769,3930.769135,4259.487075,4022.051184,4189.230667,4327.692202,4028.20503,4294.87169,4750.256294,4368.205021,4294.358869
1.0390625,3957.948621,4548.717837,4598.974247,4194.871692,3930.256314,4260.512716,4014.358876,4190.769128,4335.89733,4035.384517,4298.974254,4757.948602,4369.743483,4296.922972
1.046875,3952.820416,4549.743478,4601.025529,4203.07682,3926.666571,4264.61528,4013.846056,4193.333231,4338.461432,4031.281953,4292.820408,4756.922961,4367.17938,4296.410151
1.0546875,3950.256314,4556.410145,4596.410144,4201.538359,3931.281955,4265.128101,4017.94862,4196.922974,4335.89733,4025.128107,4286.153741,4756.922961,4361.538355,4292.307587
1.0625,3952.820416,4564.102452,4592.820401,4199.999897,3936.922981,4270.256306,4028.20503,4207.179384,4336.41015,4028.71785,4286.153741,4762.051166,4363.076816,4287.179382
1.0703125,3950.256314,4570.769119,4595.897324,4204.615282,3933.333237,4271.794767,4034.871696,4216.410153,4335.89733,4028.20503,4282.563998,4770.256294,4363.589637,4278.461434
1.078125,3948.717852,4581.53835,4597.948606,4208.205025,3933.333237,4272.307588,4040.512722,4222.563999,4333.846048,4023.589645,4279.999895,4779.999883,4361.025534,4273.846049
1.0859375,3958.974262,4593.846042,4605.640913,4210.769128,3938.461442,4275.384511,4049.743491,4228.717845,4332.307586,4026.153748,4284.61528,4792.820396,4365.640919,4278.974254
1.09375,3967.692211,4595.897324,4616.922964,4219.487076,3945.128109,4273.333229,4053.846055,4234.871691,4333.333227,4032.307594,4291.281946,4809.743472,4374.358867,4287.692203
1.1015625,3969.743493,4592.820401,4622.56399,4223.07682,3952.820416,4266.153742,4049.23067,4236.410153,4335.384509,4033.846055,4297.435792,4828.20501,4378.974252,4295.38451
1.109375,3968.205031,4591.281939,4624.615272,4217.948615,3956.92298,4262.051178,4044.615286,4231.281948,4334.358868,4030.256312,4297.948613,4839.487061,4374.871688,4296.410151
1.1171875,3967.692211,4584.615273,4622.051169,4218.461435,3951.794775,4259.487075,4042.051183,4228.205025,4331.281945,4023.589645,4293.333228,4842.563984,4368.205021,4292.307587
1.125,3972.307595,4577.435786,4625.640913,4223.07682,3947.692211,4262.563998,4037.948619,4224.615281,4330.256304,4022.564004,4296.410151,4854.871676,4369.743483,4292.307587
1.1328125,3974.358877,4573.846042,4631.794759,4224.615281,3948.717852,4271.794767,4036.410158,4212.307589,4328.717843,4026.666568,4303.589638,4868.71783,4374.358867,4299.487074
1.140625,3967.692211,4563.589632,4631.281938,4225.640922,3942.051186,4276.410152,4032.307594,4200.512718,4324.102458,4022.564004,4301.025536,4871.281932,4369.230662,4301.025536
1.1484375,3961.538365,4556.922965,4619.999887,4225.640922,3938.974263,4279.487075,4027.692209,4201.538359,4326.15374,4015.897338,4293.846049,4868.71783,4361.538355,4291.794767
1.15625,3958.974262,4559.487068,4613.333221,4222.563999,3937.948622,4284.61528,4030.769132,4204.102461,4333.846048,4019.487081,4291.281946,4872.307573,4359.487073,4282.051177
1.1640625,3952.307596,4557.948606,4607.692195,4219.487076,3932.307596,4286.666562,4037.435799,4202.051179,4334.358868,4024.615286,4289.230664,4869.743471,4358.461432,4272.307588
1.171875,3942.051186,4546.666555,4597.435785,4214.871692,3932.820417,4282.563998,4032.307594,4192.30759,4328.717843,4017.94862,4279.999895,4865.128086,4349.230663,4254.871691
1.1796875,3935.89734,4543.076812,4587.179375,4208.205025,3931.281955,4276.410152,4025.128107,4186.153744,4328.717843,4011.281953,4273.846049,4864.102445,4342.051176,4237.948614
1.1875,3935.89734,4543.589632,4586.153734,4206.666564,3910.769135,4271.794767,4028.20503,4194.358872,4331.281945,4011.281953,4273.846049,4866.666548,4341.025535,4231.794768
1.1953125,3939.487083,4541.53835,4591.281939,4211.794769,3901.538366,4273.333229,4039.487081,4215.897333,4332.820407,4017.94862,4277.435793,4872.307573,4345.640919,4241.025537
1.203125,3946.15375,4542.563991,4604.102452,4222.051179,3916.410161,4275.384511,4044.102465,4231.281948,4334.358868,4028.71785,4289.230664,4888.717829,4352.307586,4259.487075
